,0
2022-04-25,-0.001420725783371219
2022-04-26,-0.014782140515173323
2022-04-27,-0.010670336222820535
2022-04-28,0.009106514031390548
2022-04-29,-0.018014170890120727
2022-05-02,0.025005050665297512
2022-05-03,0.0054144559299989375
2022-05-04,0.011596261405507619
2022-05-05,-0.023923808412466205
2022-05-06,-0.012470784302471357
2022-05-09,-0.02199977524279526
2022-05-10,-0.0005485567627733609
2022-05-11,-0.009140936486378499
2022-05-12,-0.003914294705456854
2022-05-13,0.017665111157236915
2022-05-16,0.002588988052569376
2022-05-17,0.020701491613189835
2022-05-18,-0.020212305171929658
2022-05-19,-0.0009159966818775102
2022-05-20,-0.002418386095602892
2022-05-23,0.010150028637243855
2022-05-24,0.00027262439744654167
2022-05-25,0.007684175246787281
2022-05-26,0.013626571884605164
2022-05-27,0.007227779305753824
2022-05-31,-0.003169423501017471
2022-06-01,-0.001379829442121952
2022-06-02,0.005648232050206522
2022-06-03,-0.015971291473917296
2022-06-06,-0.00560326534072872
2022-06-07,0.007247168574719793
2022-06-08,-0.010704552628295335
2022-06-09,-0.011305184967753588
2022-06-10,-0.01177870816914787
2022-06-13,-0.021805714043188075
2022-06-14,0.0018133177902860532
2022-06-15,0.014714378759812475
2022-06-16,-0.038279265775658794
2022-06-17,0.02407683599999168
2022-06-21,0.0051374542156460475
2022-06-22,-0.003314772403389052
2022-06-23,0.005791139813369631
2022-06-24,0.0176806925101713
2022-06-27,0.007549308177202771
2022-06-28,-0.01910337815239544
2022-06-29,0.0034998704362246627
2022-06-30,-0.004301524370609802
2022-07-01,0.015074197572316123
2022-07-05,-0.007211157674644676
2022-07-06,-0.0007545071062426249
2022-07-07,0.006958415928841659
2022-07-08,-0.0025414934949942506
2022-07-11,-0.003980627683216703
2022-07-12,-0.010418322534992704
2022-07-13,0.000771696463302546
2022-07-14,0.004027694330063278
2022-07-15,0.014141969486614076
2022-07-18,-0.0023331603701967464
2022-07-19,0.0241739209638826
2022-07-20,0.0024390863963483895
2022-07-21,0.01471361189620484
2022-07-22,-0.01151863924331844
2022-07-25,-0.003562210853905967
2022-07-26,-0.0074367878852113
2022-07-27,0.021573943251671408
2022-07-28,0.0061488402202325605
2022-07-29,-0.003046558790039641
2022-08-01,-0.008088757643766804
2022-08-02,-5.645021312309192e-05
2022-08-03,0.013216227132300633
2022-08-04,0.003391876776794479
2022-08-05,-0.017024249077635622
2022-08-08,0.0007720819417329128
2022-08-09,0.003982386113417817
2022-08-10,0.009791163038385559
2022-08-11,0.004718696902090671
2022-08-12,0.012297102247698727
2022-08-15,0.005202894796276672
2022-08-16,-0.00706234119292737
2022-08-17,-0.010568011579520259
2022-08-18,-0.0015723473730941723
2022-08-19,-0.01596027964160266
2022-08-22,-0.01954193961832266
2022-08-23,0.001432771942263399
2022-08-24,0.0018595717041768377
2022-08-25,0.01647188122938655
2022-08-26,-0.023313416618591102
2022-08-29,-0.006878948417974227
2022-08-30,-0.004977846705863133
2022-08-31,0.005245809731196408
2022-09-01,0.007052129423297881
2022-09-02,-0.009100549833495756
2022-09-06,-0.01868745913282301
2022-09-07,0.02591920688135378
2022-09-08,0.0022574991867725267
2022-09-09,0.013909260061447708
2022-09-12,0.01449470676713185
2022-09-13,-0.03753286327707783
2022-09-14,0.003393906342897654
2022-09-15,-0.010852878939060671
2022-09-16,-0.013173879429014303
2022-09-19,0.0053121905709416104
2022-09-20,-0.0077350879331816525
2022-09-21,-0.010877761181716116
2022-09-22,0.010525437305000176
2022-09-23,-0.03360104274681202
2022-09-26,-0.006864164651003972
2022-09-27,0.004740592297717209
2022-09-28,0.02250274861293473
2022-09-29,-0.012617514287212115
2022-09-30,-0.008803345885614657
2022-10-03,0.02556460916521791
2022-10-04,0.017849385557724855
2022-10-05,-0.0009375234504389827
2022-10-06,-0.00542224262166593
2022-10-07,-0.013039768411680927
2022-10-10,0.010477598718659744
2022-10-11,0.005777544560172276
2022-10-12,-0.0005680913455524659
2022-10-13,0.024472551278977323
2022-10-14,-0.01673249882158317
2022-10-17,0.007621915538788587
2022-10-18,0.005330736472742673
2022-10-19,-0.0067042517514896375
2022-10-20,0.010438452958248499
2022-10-21,0.005916309162602329
2022-10-24,0.0013928002116384965
2022-10-25,0.006352095977886252
2022-10-26,-0.0011530075521462185
2022-10-27,-0.014570730228878266
2022-10-28,0.006031228882584656
2022-10-31,-0.01579488637142628
2022-11-01,0.005896835835010716
2022-11-02,4.486929924754762e-05
2022-11-03,0.00249627794841173
2022-11-04,0.022005364167890618
2022-11-07,0.008134504712537662
2022-11-08,0.004633096245819026
2022-11-09,-0.020217774572206366
2022-11-10,0.05735550029611883
2022-11-11,0.022279231682544195
2022-11-14,-0.00903225285875256
2022-11-15,0.011662503756680084
2022-11-16,-0.0071483972147764014
2022-11-17,-0.017949432803385436
2022-11-18,-0.0009229350290820945
2022-11-21,-0.006682490403302672
2022-11-22,0.01095551898696686
2022-11-23,0.019220751252531434
2022-11-25,-0.001910364934246699
2022-11-28,-0.011704973336473358
2022-11-29,0.000788534977337176
2022-11-30,0.037245720211348456
2022-12-01,-0.0026010429642935925
2022-12-02,-0.018307041184943824
2022-12-05,-0.019464019173772853
2022-12-06,-0.011337876140886638
2022-12-07,0.0006225602675296032
2022-12-08,0.005166101428141474
2022-12-09,-0.008685074264131832
2022-12-12,0.006270465968803661
2022-12-13,0.003745609582626819
2022-12-14,-0.0035915064005384765
2022-12-15,-0.024250786367039822
2022-12-16,-0.0051767824011210335
2022-12-19,-0.0037686346173709507
2022-12-20,-0.005343539135790362
2022-12-21,0.003247835135510369
2022-12-22,-0.005572410122864749
2022-12-23,0.0011659963751185064
2022-12-27,-0.007012363094373632
2022-12-28,-0.006148809336245606
2022-12-29,0.013672052679277583
2022-12-30,0.0010748118724019284
2023-01-03,-0.0038636643227469942
2023-01-04,0.006828559982656768
2023-01-05,-0.004199483562944154
2023-01-06,0.0177632570235638
2023-01-09,-0.004614910198449711
2023-01-10,0.006885244740291231
2023-01-11,0.014869356421555976
2023-01-12,0.007370005342195297
2023-01-13,0.0029327403308858032
2023-01-17,-0.007337722394627736
2023-01-18,-0.015971479187506677
2023-01-19,-0.009442023732272504
2023-01-20,0.025980785130559982
2023-01-23,0.01652084977235348
2023-01-24,-0.0027329416848321845
2023-01-25,-0.0008352497929342395
2023-01-26,0.017648479013886362
2023-01-27,-0.00032596737474981314
2023-01-30,-0.01240226215670034
2023-01-31,0.018269729127818473
2023-02-01,0.014235779262334932
2023-02-02,0.02800111223668471
2023-02-03,-0.0034596380573534377
2023-02-06,-0.023717363355479356
2023-02-07,0.014008715773800466
2023-02-08,-0.013825411439512278
2023-02-09,-0.027440361825417658
2023-02-10,-0.003511267265239785
2023-02-13,0.009263797900016172
2023-02-14,-0.006829557247154219
2023-02-15,0.0021237274795994814
2023-02-16,-0.020376072316718244
2023-02-17,-0.006059721780344644
2023-02-21,-0.02634934415488279
2023-02-22,-0.006260535534253079
2023-02-23,0.001378207530382827
2023-02-24,-0.007914779771360365
2023-02-27,0.014873442197101249
2023-02-28,-0.01134883120829058
2023-03-01,-0.00910753747372813
2023-03-02,0.008833317130359092
2023-03-03,0.012804981073279447
2023-03-06,-0.0005271744417550976
2023-03-07,-0.02258266188793912
2023-03-08,-0.012369726426993256
2023-03-09,-0.014539563273971106
2023-03-10,-0.013517377290307634
2023-03-13,-0.0019680839195895007
2023-03-14,-0.00019755672015546975
2023-03-15,0.003857355885358374
2023-03-16,0.013248976749713095
2023-03-17,-0.010608297561197319
2023-03-20,0.00546773653414716
2023-03-21,0.004341445262495276
2023-03-22,-0.021318699548977242
2023-03-23,0.00486774755474898
2023-03-24,0.022624641479445227
2023-03-27,0.004143638553678219
2023-03-28,0.0025263721760307857
2023-03-29,0.009986199349210873
2023-03-30,0.009091137434930105
2023-03-31,0.00737236403837049
2023-04-03,-0.004178850683119001
2023-04-04,-0.00803298617110628
2023-04-05,-0.0016006372044138114
2023-04-06,0.0015742610956339684
2023-04-10,0.006625043967309227
2023-04-11,-0.005515002260653088
2023-04-12,-0.0188028471157813
2023-04-13,0.015971912977402223
2023-04-14,-0.00447487021035552
2023-04-17,-0.0032118391897565535
2023-04-18,0.0010305317739032615
2023-04-19,0.00044446710341147934
2023-04-20,0.0038511839042900983
2023-04-21,0.010458545320218025
2023-04-22,0.42988605656459344
